CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Blood Sugar Controlled,C11: Controlling High Blood Pressure,C12: Reducing the Risk of Falling,C13: Improving Bladder Control,C14: Medication Reconciliation Post-Discharge,C15: Plan All-Cause Readmissions,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Transitions of Care,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C19: Getting Needed Care,C20: Getting Appointments and Care Quickly,C21: Customer Service,C22: Rating of Health Care Quality,C23: Rating of Health Plan,C24: Care Coordination,C25: Complaints about the Health Plan,C26: Members Choosing to Leave the Plan,C27: Health Plan Quality Improvement,C28: Plan Makes Timely Decisions about Appeals,C29: Reviewing Appeals Decisions,C30: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD),Unnamed: 47,C01: Breast Cancer Screening_flag,C02: Colorectal Cancer Screening_flag,C03: Annual Flu Vaccine_flag,C04: Monitoring Physical Activity_flag,C05: Special Needs Plan (SNP) Care Management_flag,C06: Care for Older Adults – Medication Review_flag,C07: Care for Older Adults – Pain Assessment_flag,C08: Osteoporosis Management in Women who had a Fracture_flag,C09: Diabetes Care – Eye Exam_flag,C10: Diabetes Care – Blood Sugar Controlled_flag,C11: Controlling High Blood Pressure_flag,C12: Reducing the Risk of Falling_flag,C13: Improving Bladder Control_flag,C14: Medication Reconciliation Post-Discharge_flag,C15: Plan All-Cause Readmissions_flag,C16: Statin Therapy for Patients with Cardiovascular Disease_flag,C17: Transitions of Care_flag,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions_flag,C19: Getting Needed Care_flag,C20: Getting Appointments and Care Quickly_flag,C21: Customer Service_flag,C22: Rating of Health Care Quality_flag,C23: Rating of Health Plan_flag,C24: Care Coordination_flag,C25: Complaints about the Health Plan_flag,C26: Members Choosing to Leave the Plan_flag,C27: Health Plan Quality Improvement_flag,C28: Plan Makes Timely Decisions about Appeals_flag,C29: Reviewing Appeals Decisions_flag,C30: Call Center – Foreign Language Interpreter and TTY Availability_flag,D01: Call Center – Foreign Language Interpreter and TTY Availability_flag,D02: Complaints about the Drug Plan_flag,D03: Members Choosing to Leave the Plan_flag,D04: Drug Plan Quality Improvement_flag,D05: Rating of Drug Plan_flag,D06: Getting Needed Prescription Drugs_flag,D07: MPF Price Accuracy_flag,D08: Medication Adherence for Diabetes Medications_flag,D09: Medication Adherence for Hypertension (RAS antagonists)_flag,D10: Medication Adherence for Cholesterol (Statins)_flag,D11: MTM Program Completion Rate for CMR_flag,D12: Statin Use in Persons with Diabetes (SUPD)_flag,data_completeness_score,has_meaningful_data,overall_score
H2875 ,Local CCP ,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP ,Humana ,Humana Inc. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.0,False,
H2915 ,Local CCP ,"PENNSYLVANIA HEALTH & WELLNESS, INC. ",Wellcare by Allwell ,Centene Corporation ,61.0,55.0,61.0,41.0,68.0,94.0,87.0,,61.0,78.0,70.0,59.0,,64.0,14.0,88.0,45.0,51.0,81.0,85.0,90.0,86.0,86.0,88.0,0.41,33.0,,100.0,100.0,98.0,100.0,0.41,33.0,,87.0,91.0,97.0,89.0,91.0,91.0,87.0,89.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9047619047619048,True,71.0478947368421
H2923 ,Local CCP ,DEVOTED HEALTH PLAN OF OREGON INC ,Devoted Health ,"Devoted Health, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,,,,,,99.0,84.0,93.0,89.0,,81.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.16666666666666666,True,90.28571428571429
H2926 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,97.0,94.0,,,,,,98.0,97.0,82.0,93.0,53.0,80.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.21428571428571427,True,80.66666666666667
H2942 ,Local CCP ,COX HEALTH SYSTEMS HMO INC ,Cox HealthPlans ,CoxHealth ,,,72.0,,,,,,78.0,92.0,75.0,,,94.0,,,94.0,39.0,82.0,82.0,92.0,87.0,87.0,88.0,0.06,10.0,,88.0,91.0,97.0,94.0,0.06,10.0,,89.0,91.0,99.0,86.0,89.0,87.0,88.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.6904761904761905,True,74.72827586206895
H2960 ,Local CCP ,"HOMETOWN HEALTH PLAN, INC. ",Senior Care Plus ,Renown Health ,80.0,81.0,76.0,57.0,83.0,99.0,99.0,55.0,85.0,91.0,90.0,47.0,50.0,97.0,9.0,92.0,94.0,76.0,82.0,84.0,91.0,88.0,87.0,89.0,0.07,4.0,,100.0,98.0,95.0,95.0,0.07,4.0,,84.0,86.0,77.0,81.0,88.0,86.0,86.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,73.7785
H2962 ,Local CCP ,"ULTIMATE HEALTH PLANS, INC. ",Ultimate Health Plans ,"Ultimate Healthcare Holdings, LLC ",83.0,83.0,57.0,47.0,66.0,99.0,98.0,90.0,84.0,87.0,92.0,47.0,48.0,84.0,12.0,90.0,70.0,63.0,79.0,85.0,90.0,86.0,89.0,83.0,0.27,13.0,,100.0,96.0,97.0,97.0,0.27,13.0,,91.0,91.0,99.0,90.0,89.0,88.0,89.0,92.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,73.9385
H3015 ,Local CCP ,"SHARED HEALTH MISSISSIPPI, INC. ",Shared Health Dual Plus ,BlueCross BlueShield of Tennessee ,,47.0,50.0,46.0,85.0,73.0,67.0,,54.0,39.0,45.0,55.0,,28.0,,,34.0,40.0,81.0,84.0,90.0,,88.0,86.0,0.39,14.0,,100.0,77.0,98.0,100.0,0.39,14.0,,87.0,89.0,99.0,76.0,77.0,75.0,77.0,83.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8095238095238095,True,63.4935294117647
H3038 ,Local CCP ,MOLINA HEALTHCARE OF CALIFORNIA ,Molina Healthcare of California ,"Molina Healthcare, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.047619047619047616,True,100.0
H3041 ,Local CCP ,DEVOTED HEALTH PLAN OF SOUTH CAROLINA INC ,Devoted Health ,"Devoted Health, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,90.0,,,,,,99.0,84.0,92.0,85.0,,94.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.16666666666666666,True,91.28571428571429
H3047 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA ,Wellcare ,Centene Corporation ,60.0,50.0,53.0,31.0,,,,,52.0,74.0,67.0,,,59.0,12.0,82.0,46.0,45.0,82.0,85.0,90.0,86.0,85.0,88.0,0.62,48.0,,,,98.0,100.0,0.62,48.0,,86.0,87.0,99.0,85.0,87.0,84.0,97.0,84.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7619047619047619,True,67.22625
H3048 ,Local CCP ,SECUR INC ,SECUR Health Plan ,Chapters CareNu Inc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.0,False,
H3071 ,Local CCP ,"CLEAR SPRING HEALTH COMMUNITY CARE, INC. ",Clear Spring Health ,Group 1001 ,63.0,67.0,61.0,54.0,,,,,68.0,81.0,85.0,,,88.0,16.0,76.0,59.0,41.0,80.0,,87.0,,84.0,,0.74,27.0,,100.0,82.0,86.0,91.0,0.74,27.0,,83.0,,100.0,83.0,85.0,84.0,84.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7142857142857143,True,67.616
H3080 ,Local CCP ,DEVOTED HEALTH PLAN OF ALABAMA INC ,Devoted Health ,"Devoted Health, Inc. ",,,53.0,,92.0,100.0,96.0,,73.0,83.0,84.0,,,83.0,,,58.0,,79.0,81.0,94.0,85.0,89.0,82.0,0.67,34.0,,,,95.0,91.0,0.67,34.0,,89.0,91.0,99.0,81.0,91.0,91.0,94.0,88.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.6904761904761905,True,76.25310344827587
H3113 ,Local CCP ,"OXFORD HEALTH PLANS (NJ), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",71.0,74.0,63.0,54.0,79.0,94.0,97.0,46.0,79.0,81.0,78.0,67.0,49.0,64.0,13.0,87.0,53.0,58.0,76.0,83.0,88.0,,88.0,,0.28,21.0,,99.0,99.0,98.0,100.0,0.28,21.0,,87.0,,99.0,86.0,87.0,86.0,87.0,88.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,70.2854054054054
H3124 ,Local CCP ,PARTNERS INSURANCE COMPANY OF NEW JERSEY INC ,Jefferson Health Plans ,Thomas Jefferson University ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.0,False,
H3138 ,Local CCP ,KAISER PERMANENTE INSURANCE COMPANY ,Kaiser Permanente ,"Kaiser Foundation Health Plan, Inc. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,100.0,,,,,,,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.047619047619047616,True,99.0
H3146 ,Local CCP ,AETNA BETTER HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,79.0,80.0,71.0,53.0,66.0,100.0,92.0,51.0,82.0,92.0,82.0,54.0,40.0,95.0,13.0,89.0,53.0,57.0,81.0,84.0,91.0,86.0,89.0,88.0,0.29,25.0,,94.0,98.0,100.0,97.0,0.29,25.0,,89.0,90.0,99.0,85.0,89.0,89.0,94.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,73.2145
H3152 ,Local CCP ,AETNA HEALTH INC. (NJ) ,Aetna Medicare ,CVS Health Corporation ,69.0,71.0,71.0,50.0,,,,44.0,75.0,95.0,78.0,56.0,45.0,90.0,13.0,85.0,55.0,60.0,80.0,85.0,91.0,87.0,90.0,87.0,0.12,9.0,,90.0,96.0,100.0,97.0,0.12,9.0,,88.0,90.0,99.0,86.0,90.0,89.0,93.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,70.24972972972972
H3170 ,Local CCP ,"SAPPHIRE EDGE, INC. ",Blue Cross and Blue Shield of Nebraska ,Blue Cross Blue Shield of Nebraska ,69.0,71.0,70.0,41.0,,,,,68.0,80.0,76.0,,,51.0,,,44.0,,85.0,87.0,,87.0,85.0,87.0,,,,,,97.0,97.0,,,,84.0,89.0,98.0,89.0,88.0,88.0,,91.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.5476190476190477,True,79.21739130434783
H3186 ,Local CCP ,SANFORD HEALTH PLAN OF MINNESOTA ,Align powered by Sanford Health Plan ,Sanford Health ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,95.0,,,,,,98.0,85.0,91.0,92.0,,88.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.16666666666666666,True,92.42857142857143
H3189 ,Local CCP ,"ESSENCE HEALTHCARE OF OHIO, INC. ",Essence Healthcare ,Lumeris Group Holdings Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,,,,,,97.0,,,83.0,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.09523809523809523,True,91.5
H3192 ,Local CCP ,AETNA HEALTH OF MICHIGAN INC. ,Aetna Medicare ,CVS Health Corporation ,73.0,67.0,59.0,46.0,72.0,100.0,97.0,43.0,73.0,94.0,83.0,57.0,49.0,94.0,14.0,87.0,52.0,57.0,82.0,85.0,91.0,86.0,88.0,87.0,0.33,30.0,,89.0,96.0,100.0,97.0,0.33,30.0,,87.0,89.0,99.0,83.0,88.0,86.0,97.0,86.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,72.3415
H3204 ,Local CCP ,PRESBYTERIAN HEALTH PLAN ,Presbyterian Health Plan ,Presbyterian Healthcare Services ,71.0,69.0,75.0,53.0,62.0,83.0,82.0,47.0,76.0,78.0,63.0,53.0,40.0,78.0,12.0,82.0,59.0,52.0,74.0,80.0,91.0,85.0,87.0,86.0,0.08,5.0,,100.0,95.0,89.0,97.0,0.08,5.0,,84.0,86.0,99.0,83.0,87.0,85.0,95.0,81.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,68.229
H3219 ,Local CCP ,ALLINA HEALTH AND AETNA INSURANCE COMPANY ,Allina Health Aetna Medicare ,Allina Health and Aetna Insurance Holding Company ,79.0,78.0,72.0,45.0,,,,50.0,82.0,96.0,90.0,47.0,48.0,94.0,12.0,92.0,68.0,61.0,80.0,82.0,90.0,87.0,89.0,88.0,0.11,7.0,,79.0,79.0,98.0,100.0,0.11,7.0,,89.0,91.0,99.0,87.0,91.0,90.0,93.0,87.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,71.00594594594595
H3239 ,Local CCP ,"AETNA BETTER HEALTH, INC. (LA) ",Aetna Medicare ,CVS Health Corporation ,74.0,68.0,58.0,43.0,72.0,100.0,95.0,,79.0,93.0,71.0,63.0,38.0,95.0,14.0,85.0,50.0,49.0,85.0,86.0,93.0,88.0,89.0,86.0,0.31,33.0,,88.0,97.0,100.0,97.0,0.31,33.0,,90.0,93.0,99.0,85.0,86.0,86.0,96.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9285714285714286,True,72.8876923076923
H3240 ,Local CCP ,"WELLPOINT NEW JERSEY, INC. ",Wellpoint ,"Elevance Health, Inc. ",60.0,54.0,66.0,55.0,60.0,96.0,93.0,16.0,62.0,79.0,73.0,74.0,43.0,48.0,12.0,85.0,39.0,58.0,82.0,82.0,86.0,85.0,86.0,86.0,0.27,26.0,,100.0,96.0,100.0,100.0,0.27,26.0,,89.0,91.0,98.0,84.0,83.0,82.0,88.0,88.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,68.2885
H3251 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of New Mexico ,Health Care Service Corporation ,73.0,74.0,79.0,47.0,41.0,99.0,90.0,35.0,75.0,81.0,73.0,58.0,39.0,72.0,8.0,80.0,55.0,57.0,73.0,75.0,89.0,82.0,85.0,,0.1,9.0,,100.0,98.0,100.0,100.0,0.1,9.0,,85.0,86.0,99.0,84.0,89.0,89.0,94.0,82.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9285714285714286,True,68.31282051282051
H3256 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",76.0,85.0,63.0,48.0,87.0,98.0,99.0,52.0,82.0,84.0,73.0,70.0,45.0,68.0,11.0,87.0,62.0,58.0,84.0,88.0,92.0,87.0,89.0,86.0,0.13,31.0,,99.0,95.0,98.0,100.0,0.13,31.0,,90.0,92.0,99.0,88.0,88.0,88.0,88.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,73.65650000000001
H3259 ,Local CCP ,VOLUNTEER STATE HEALTH PLAN ,BlueCare Plus Tennessee ,BlueCross BlueShield of Tennessee ,73.0,74.0,57.0,39.0,69.0,94.0,94.0,62.0,83.0,80.0,74.0,62.0,44.0,59.0,12.0,83.0,49.0,57.0,83.0,86.0,92.0,88.0,90.0,87.0,0.27,8.0,,98.0,99.0,98.0,97.0,0.27,8.0,,90.0,92.0,98.0,85.0,87.0,87.0,88.0,82.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,70.2135
H3274 ,Local CCP ,ALIGN SENIOR CARE CALIFORNIA INC. ,Align Senior Care ,"Curana Health Holdings, LLC ",,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,91.0,,,,,,99.0,,,,,,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,special,0.09523809523809523,True,88.0
H3276 ,Local CCP ,"CONNECTICARE INSURANCE COMPANY, INC. ",ConnectiCare ,"EmblemHealth, Inc. ",78.0,73.0,69.0,55.0,36.0,92.0,94.0,,73.0,72.0,85.0,,,62.0,14.0,86.0,69.0,50.0,81.0,,,,87.0,,0.12,17.0,,,,97.0,97.0,0.12,17.0,,85.0,,99.0,86.0,89.0,88.0,45.0,87.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7142857142857143,True,66.10799999999999
H3288 ,Local CCP ,AETNA HEALTH AND LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,68.0,74.0,62.0,48.0,,,,44.0,75.0,92.0,75.0,51.0,46.0,93.0,12.0,83.0,50.0,53.0,83.0,86.0,92.0,88.0,87.0,87.0,0.17,22.0,,89.0,93.0,100.0,97.0,0.17,22.0,,85.0,89.0,98.0,84.0,88.0,87.0,91.0,83.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.8809523809523809,True,69.65783783783785
H3291 ,Local CCP ,"PRUITTHEALTH PREMIER, INC. ",PruittHealth Premier ,"UNICO Services, Inc. ",21.0,66.0,,,96.0,91.0,99.0,,85.0,78.0,,,,,12.0,,,31.0,,,,,,,0.25,4.0,,,,89.0,92.0,0.25,4.0,,,,99.0,78.0,91.0,94.0,97.0,94.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.5,True,62.92857142857143
H3305 ,Local CCP ,"MVP HEALTH PLAN, INC. ",MVP HEALTH CARE ,"MVP Health Care, Inc. ",83.0,78.0,84.0,52.0,59.0,74.0,75.0,33.0,75.0,86.0,70.0,51.0,45.0,62.0,11.0,86.0,57.0,63.0,82.0,87.0,93.0,87.0,90.0,87.0,0.05,8.0,,99.0,96.0,94.0,94.0,0.05,8.0,,88.0,91.0,99.0,87.0,91.0,89.0,70.0,82.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,69.1525
H3307 ,Local CCP ,"OXFORD HEALTH PLANS (NY), INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70.0,71.0,71.0,49.0,,,,23.0,71.0,88.0,70.0,59.0,45.0,53.0,12.0,87.0,44.0,56.0,78.0,,,,81.0,,0.15,18.0,,100.0,95.0,98.0,100.0,0.15,18.0,,83.0,88.0,99.0,86.0,89.0,86.0,84.0,87.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.7857142857142857,True,65.43333333333334
H3312 ,Local CCP ,AETNA HEALTH INC. (NY) ,Aetna Medicare ,CVS Health Corporation ,74.0,70.0,68.0,47.0,70.0,100.0,89.0,49.0,75.0,91.0,76.0,60.0,45.0,93.0,12.0,86.0,54.0,58.0,80.0,84.0,90.0,88.0,89.0,87.0,0.26,17.0,,92.0,99.0,100.0,97.0,0.26,17.0,,87.0,89.0,99.0,86.0,89.0,87.0,92.0,85.0,,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,0.9523809523809523,True,71.788
